ticker,entrada_data,entry,stop,alvo,saida_data,R
NEE,2020-08-04,60.78,49.84,93.58,2020-10-28,0.28
NEE,2021-07-27,67.76,65.98,73.11,2021-08-16,3.0
NEE,2021-08-11,71.68,65.98,88.81,2021-11-04,0.42
NEE,2022-08-15,80.81,67.78,119.89,2022-10-11,-1.0
NEE,2023-04-17,70.89,66.23,84.9,2023-05-25,-1.0
NEE,2024-05-21,71.61,57.06,115.28,2024-08-16,0.14
NEE,2024-08-13,73.17,68.56,87.0,2024-11-06,-1.0
NEE,2024-08-16,73.59,71.51,79.83,2024-09-13,3.0
NEE,2025-07-14,72.38,68.74,83.32,2025-07-25,-1.0
NEE,2025-10-24,82.05,67.43,125.91,2026-01-22,0.08
PEP,2017-03-15,82.68,80.71,88.57,2017-06-09,2.13
PEP,2017-03-17,82.89,80.71,89.41,2017-06-13,1.96
PEP,2017-12-06,90.33,86.22,102.65,2018-02-06,-1.0
PEP,2018-07-19,89.42,83.04,108.53,2018-10-04,-1.0
PEP,2018-07-25,88.98,83.04,106.8,2018-10-04,-1.0
PEP,2019-07-02,105.56,104.68,108.19,2019-07-09,-1.0
PEP,2020-12-04,121.31,117.18,133.72,2021-01-12,-1.0
PEP,2020-12-31,123.35,119.33,135.4,2021-01-04,-1.0
PEP,2021-06-03,124.71,122.78,130.52,2021-06-18,-1.0
PEP,2021-08-13,132.19,129.76,139.48,2021-09-20,-1.0
PEP,2021-12-15,146.88,134.68,183.46,2022-03-10,-1.0
PEP,2022-07-22,147.17,145.51,152.14,2022-07-29,3.0
PEP,2022-08-10,152.66,149.59,161.88,2022-08-30,-1.0
PEP,2023-04-17,163.22,154.88,188.26,2023-07-13,0.47
PEP,2024-05-16,166.83,158.22,192.66,2024-05-28,-1.0
PEP,2025-08-15,143.14,131.0,179.58,2025-11-10,-0.5
PEP,2025-08-19,144.82,131.0,186.28,2025-11-12,-0.44
PETR4.SA,2017-09-01,3.51,3.23,4.35,2017-11-06,3.0
PETR4.SA,2018-05-07,5.67,5.43,6.41,2018-05-10,3.0
